horizon,variant,candidate,selection_fold,candidate_selection_policy,candidate_selection_fold_count,stability_median_balanced_accuracy,stability_median_macro_f1,stability_balanced_accuracy_std,stability_median_roc_auc,n_samples,accuracy,balanced_accuracy,macro_f1,precision_down,precision_up,recall_down,recall_up,mcc,roc_auc,brier_score,log_loss,expected_calibration_error,threshold,confusion_matrix
1,dfa_hurst_with_meta,logistic_c02,wf_05,median_preselection_folds_v2_1,4,0.49994843684874385,0.4809517574322706,0.020101605171713718,0.5129582334054508,579,0.533678756476684,0.5169687044253711,0.4398219814241486,0.5538461538461539,0.5311284046692607,0.1299638989169675,0.9039735099337748,0.0537011762836621,0.49841011786644984,0.25709933085374453,0.7078247998013221,0.07288020337761952,0.395,"[[36, 241], [29, 273]]"
1,dfa_hurst_with_meta,logistic_c10,wf_05,median_preselection_folds_v2_1,4,0.5037422536785336,0.4833357819095002,0.024634718001909386,0.5086161045022572,579,0.531951640759931,0.5153130752862983,0.4386985995099179,0.5454545454545454,0.530214424951267,0.1299638989169675,0.9006622516556292,0.04813989282623896,0.4975016137901356,0.25846208587839103,0.7107236299696652,0.07160430406578208,0.39,"[[36, 241], [30, 272]]"
1,dfa_hurst_with_meta,random_forest,wf_05,median_preselection_folds_v2_1,4,0.5053246946908607,0.47161018978519353,0.013147734739101065,0.5128664504041041,579,0.5146804835924007,0.5199751356779114,0.509761146448835,0.49444444444444446,0.547945205479452,0.6425992779783394,0.3973509933774834,0.04115188959377198,0.5040763143424104,0.25254095242547614,0.6982775241758489,0.04128449187318559,0.495,"[[178, 99], [182, 120]]"
1,dfa_hurst_with_meta,extra_trees,wf_05,median_preselection_folds_v2_1,4,0.5021297334892887,0.4613806052687603,0.009621972930862178,0.5026180571477703,579,0.542314335060449,0.5366031510746647,0.5309820536099114,0.5283018867924528,0.5504087193460491,0.4043321299638989,0.6688741721854304,0.07590857932626606,0.5291797164510962,0.2514863093573269,0.696133958227025,0.04751687123075304,0.47,"[[112, 165], [100, 202]]"
1,dfa_hurst_with_meta,hist_gradient_boosting,wf_05,median_preselection_folds_v2_1,4,0.4894992226011693,0.45532056243614644,0.024646850726731423,0.512398902327181,579,0.5457685664939551,0.539615559327707,0.5329284564067173,0.5339805825242718,0.5522788203753352,0.3971119133574007,0.6821192052980133,0.0826706053339633,0.5292155784541086,0.2603284133199378,0.717326968065391,0.07537539334926144,0.455,"[[110, 167], [96, 206]]"
1,dfa_hurst_no_meta,logistic_c02,wf_05,median_preselection_folds_v2_1,4,0.49994843684874385,0.4809517574322706,0.020101605171713718,0.5129582334054508,579,0.533678756476684,0.5169687044253711,0.4398219814241486,0.5538461538461539,0.5311284046692607,0.1299638989169675,0.9039735099337748,0.0537011762836621,0.49841011786644984,0.25709933085374453,0.7078247998013221,0.07288020337761952,0.395,"[[36, 241], [29, 273]]"
1,dfa_hurst_no_meta,logistic_c10,wf_05,median_preselection_folds_v2_1,4,0.5037422536785336,0.4833357819095002,0.024634718001909386,0.5086161045022572,579,0.531951640759931,0.5153130752862983,0.4386985995099179,0.5454545454545454,0.530214424951267,0.1299638989169675,0.9006622516556292,0.04813989282623896,0.4975016137901356,0.25846208587839103,0.7107236299696652,0.07160430406578208,0.39,"[[36, 241], [30, 272]]"
1,dfa_hurst_no_meta,random_forest,wf_05,median_preselection_folds_v2_1,4,0.5053246946908607,0.47161018978519353,0.013147734739101065,0.5128664504041041,579,0.5146804835924007,0.5199751356779114,0.509761146448835,0.49444444444444446,0.547945205479452,0.6425992779783394,0.3973509933774834,0.04115188959377198,0.5040763143424104,0.25254095242547614,0.6982775241758489,0.04128449187318559,0.495,"[[178, 99], [182, 120]]"
1,dfa_hurst_no_meta,extra_trees,wf_05,median_preselection_folds_v2_1,4,0.5021297334892887,0.4613806052687603,0.009621972930862178,0.5026180571477703,579,0.542314335060449,0.5366031510746647,0.5309820536099114,0.5283018867924528,0.5504087193460491,0.4043321299638989,0.6688741721854304,0.07590857932626606,0.5291797164510962,0.2514863093573269,0.696133958227025,0.04751687123075304,0.47,"[[112, 165], [100, 202]]"
1,dfa_hurst_no_meta,hist_gradient_boosting,wf_05,median_preselection_folds_v2_1,4,0.4894992226011693,0.45532056243614644,0.024646850726731423,0.512398902327181,579,0.5457685664939551,0.539615559327707,0.5329284564067173,0.5339805825242718,0.5522788203753352,0.3971119133574007,0.6821192052980133,0.0826706053339633,0.5292155784541086,0.2603284133199378,0.717326968065391,0.07537539334926144,0.455,"[[110, 167], [96, 206]]"
