horizon,split_id,test_group_ids,train_start_row,train_end_row,test_start_row,test_end_row,n_train_raw,n_train,n_test,purged_count,embargoed_count
10,cpcv_022,3|7,40,2804,1231,3210,2379,2349,792,30,0
10,cpcv_023,4|5,40,3210,1627,2418,2379,2359,792,20,0
10,cpcv_024,4|6,40,3210,1627,2814,2379,2339,792,40,0
10,cpcv_025,4|7,40,2804,1627,3210,2379,2349,792,30,0
10,cpcv_026,5|6,40,3210,2023,2814,2379,2359,792,20,0
10,cpcv_027,5|7,40,2804,2023,3210,2379,2349,792,30,0
10,cpcv_028,6|7,40,2408,2419,3210,2379,2369,792,10,0
20,cpcv_001,0|1,851,3200,40,830,2370,2350,791,20,0
20,cpcv_002,0|2,456,3200,40,1225,2370,2310,791,60,0
20,cpcv_003,0|3,456,3200,40,1620,2370,2310,791,60,0
20,cpcv_004,0|4,456,3200,40,2015,2370,2310,791,60,0
20,cpcv_005,0|5,456,3200,40,2410,2370,2310,791,60,0
20,cpcv_006,0|6,456,3200,40,2805,2370,2310,791,60,0
20,cpcv_007,0|7,456,2785,40,3200,2370,2330,791,40,0
20,cpcv_008,1|2,40,3200,436,1225,2371,2331,790,40,0
20,cpcv_009,1|3,40,3200,436,1620,2371,2291,790,80,0
20,cpcv_010,1|4,40,3200,436,2015,2371,2291,790,80,0
20,cpcv_011,1|5,40,3200,436,2410,2371,2291,790,80,0
20,cpcv_012,1|6,40,3200,436,2805,2371,2291,790,80,0
20,cpcv_013,1|7,40,2785,436,3200,2371,2311,790,60,0
20,cpcv_014,2|3,40,3200,831,1620,2371,2331,790,40,0
20,cpcv_015,2|4,40,3200,831,2015,2371,2291,790,80,0
20,cpcv_016,2|5,40,3200,831,2410,2371,2291,790,80,0
20,cpcv_017,2|6,40,3200,831,2805,2371,2291,790,80,0
20,cpcv_018,2|7,40,2785,831,3200,2371,2311,790,60,0
20,cpcv_019,3|4,40,3200,1226,2015,2371,2331,790,40,0
20,cpcv_020,3|5,40,3200,1226,2410,2371,2291,790,80,0
20,cpcv_021,3|6,40,3200,1226,2805,2371,2291,790,80,0
20,cpcv_022,3|7,40,2785,1226,3200,2371,2311,790,60,0
20,cpcv_023,4|5,40,3200,1621,2410,2371,2331,790,40,0
20,cpcv_024,4|6,40,3200,1621,2805,2371,2291,790,80,0
20,cpcv_025,4|7,40,2785,1621,3200,2371,2311,790,60,0
20,cpcv_026,5|6,40,3200,2016,2805,2371,2331,790,40,0
20,cpcv_027,5|7,40,2785,2016,3200,2371,2311,790,60,0
20,cpcv_028,6|7,40,2390,2411,3200,2371,2351,790,20,0
