horizon,variant,fold_id,candidate,n_validation,balanced_accuracy,macro_f1,roc_auc,train_start_row,train_end_row,validation_start_row,validation_end_row,n_train_raw,n_train,purged_count,embargoed_count
1,no_hurst_with_meta,wf_03,random_forest,580,0.4948435171385991,0.4067214901950228,0.5183427719821163,40,1479,1481,2060,1441,1440,1,0
1,no_hurst_with_meta,wf_03,extra_trees,580,0.5005067064083457,0.4248770426780898,0.5079940387481372,40,1479,1481,2060,1441,1440,1,0
1,no_hurst_with_meta,wf_03,hist_gradient_boosting,580,0.5,0.442592705684963,0.5227064083457527,40,1479,1481,2060,1441,1440,1,0
1,no_hurst_with_meta,wf_04,logistic_c02,580,0.5102163461538461,0.510105580693816,0.50703125,40,2059,2061,2640,2021,2020,1,0
1,no_hurst_with_meta,wf_04,logistic_c10,580,0.4939903846153846,0.49370376746981764,0.5056370192307693,40,2059,2061,2640,2021,2020,1,0
1,no_hurst_with_meta,wf_04,random_forest,580,0.5122596153846154,0.4978444930080369,0.5071274038461537,40,2059,2061,2640,2021,2020,1,0
1,no_hurst_with_meta,wf_04,extra_trees,580,0.5277644230769231,0.49153111874761357,0.5178125,40,2059,2061,2640,2021,2020,1,0
1,no_hurst_with_meta,wf_04,hist_gradient_boosting,580,0.5132211538461539,0.5121165479471669,0.5166346153846154,40,2059,2061,2640,2021,2020,1,0
1,no_hurst_with_meta,wf_05,logistic_c02,579,0.495164606593827,0.4911213947481705,0.5026657422239224,40,2639,2641,3219,2601,2600,1,0
1,no_hurst_with_meta,wf_05,logistic_c10,579,0.5001314940110455,0.4965443054995294,0.500872642073302,40,2639,2641,3219,2601,2600,1,0
1,no_hurst_with_meta,wf_05,random_forest,579,0.5151457192722404,0.49666763257026947,0.5202739857030148,40,2639,2641,3219,2601,2600,1,0
1,no_hurst_with_meta,wf_05,extra_trees,579,0.5037953953188132,0.4076308056921016,0.5253066201257561,40,2639,2641,3219,2601,2600,1,0
1,no_hurst_with_meta,wf_05,hist_gradient_boosting,579,0.5168491644153299,0.5163369054154037,0.5070050445884238,40,2639,2641,3219,2601,2600,1,0
1,no_hurst_no_meta,wf_01,logistic_c02,580,0.508185506418722,0.4036864177728158,0.5208028458911851,40,319,321,900,281,280,1,0
1,no_hurst_no_meta,wf_01,logistic_c10,580,0.5079535044199355,0.4440478079221535,0.51335498685322,40,319,321,900,281,280,1,0
1,no_hurst_no_meta,wf_01,random_forest,580,0.4796849531831864,0.4240953221535746,0.48575269776683205,40,319,321,900,281,280,1,0
1,no_hurst_no_meta,wf_01,extra_trees,580,0.4827723643978061,0.4791377638547028,0.4930220937288075,40,319,321,900,281,280,1,0
1,no_hurst_no_meta,wf_01,hist_gradient_boosting,580,0.47681764642895386,0.4109655891003574,0.48488417746368273,40,319,321,900,281,280,1,0
1,no_hurst_no_meta,wf_02,logistic_c02,580,0.5302287289257974,0.530090193134837,0.5432699764947322,40,899,901,1480,861,860,1,0
1,no_hurst_no_meta,wf_02,logistic_c10,580,0.5302287289257974,0.530090193134837,0.5468852537256446,40,899,901,1480,861,860,1,0
1,no_hurst_no_meta,wf_02,random_forest,580,0.5259572132536302,0.5259572132536302,0.5500351982436673,40,899,901,1480,861,860,1,0
1,no_hurst_no_meta,wf_02,extra_trees,580,0.5235589600410447,0.49987129987129986,0.5358246530884968,40,899,901,1480,861,860,1,0
1,no_hurst_no_meta,wf_02,hist_gradient_boosting,580,0.5412058083067854,0.5376616578030006,0.560594671343857,40,899,901,1480,861,860,1,0
1,no_hurst_no_meta,wf_03,logistic_c02,580,0.5167213114754099,0.5057371933362139,0.5010432190760059,40,1479,1481,2060,1441,1440,1,0
1,no_hurst_no_meta,wf_03,logistic_c10,580,0.5138301043219076,0.5059049292932916,0.49661997019374077,40,1479,1481,2060,1441,1440,1,0
1,no_hurst_no_meta,wf_03,random_forest,580,0.4948435171385991,0.4067214901950228,0.5183427719821163,40,1479,1481,2060,1441,1440,1,0
1,no_hurst_no_meta,wf_03,extra_trees,580,0.5005067064083457,0.4248770426780898,0.5079940387481372,40,1479,1481,2060,1441,1440,1,0
1,no_hurst_no_meta,wf_03,hist_gradient_boosting,580,0.5,0.442592705684963,0.5227064083457527,40,1479,1481,2060,1441,1440,1,0
