calibration_candidate,calibration,margin,eligible,eligibility_reason,raw_calibration_count,purged_count,retained_count,max_raw_label_end,max_retained_label_end,evaluation_start_row,overlap_count_after_purge,sigmoid_retained_class_count,sigmoid_finite_probability,calibration_start_row,calibration_end_row,evaluation_end_row,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,outer_fold
none,none,0.0,True,not_applicable,319,21,298,700,679,680,0,2,True,361,679,839,0.3595496772161864,0.35622485253330205,-0.18257140332765592,8,outer_01
none,none,0.05,True,not_applicable,319,21,298,700,679,680,0,2,True,361,679,839,0.3595496772161864,0.35622485253330205,-0.18257140332765592,8,outer_01
sigmoid,sigmoid,0.0,True,eligible,319,21,298,700,679,680,0,2,True,361,679,839,0.5,0.3522267206477733,0.06378462123683898,8,outer_01
sigmoid,sigmoid,0.05,True,eligible,319,21,298,700,679,680,0,2,True,361,679,839,0.5,0.3522267206477733,0.06378462123683898,8,outer_01
none,none,0.0,True,not_applicable,631,21,610,1012,991,992,0,2,True,361,991,1307,0.4842747111681643,0.45517241379310347,0.10938746763319702,16,outer_02
none,none,0.05,True,not_applicable,631,21,610,1012,991,992,0,2,True,361,991,1307,0.4842747111681643,0.45517241379310347,0.05967028232205525,16,outer_02
sigmoid,sigmoid,0.0,True,eligible,631,21,610,1012,991,992,0,2,True,361,991,1307,0.5,0.3416666666666667,-0.04172638319276249,16,outer_02
sigmoid,sigmoid,0.05,True,eligible,631,21,610,1012,991,992,0,2,True,361,991,1307,0.5,0.3416666666666667,-0.09145079856727484,13,outer_02
none,none,0.0,True,not_applicable,943,21,922,1324,1303,1304,0,2,True,361,1303,1775,0.5140146381133098,0.41402259082120685,-0.09095795279115113,24,outer_03
none,none,0.05,True,not_applicable,943,21,922,1324,1303,1304,0,2,True,361,1303,1775,0.5140146381133098,0.41402259082120685,-0.07647929259334138,24,outer_03
sigmoid,sigmoid,0.0,True,eligible,943,21,922,1324,1303,1304,0,2,True,361,1303,1775,0.5,0.3149492017416546,-0.1295618517854241,24,outer_03
sigmoid,sigmoid,0.05,True,eligible,943,21,922,1324,1303,1304,0,2,True,361,1303,1775,0.5,0.3149492017416546,-0.12240289049176045,23,outer_03
none,none,0.0,True,not_applicable,1255,21,1234,1636,1615,1616,0,2,True,361,1615,2243,0.46907300151135545,0.4667584624211131,-0.10589061629269803,32,outer_04
none,none,0.05,True,not_applicable,1255,21,1234,1636,1615,1616,0,2,True,361,1615,2243,0.46907300151135545,0.4667584624211131,-0.14180080298008568,32,outer_04
sigmoid,sigmoid,0.0,True,eligible,1255,21,1234,1636,1615,1616,0,2,True,361,1615,2243,0.5,0.33120340788072417,-0.17629513172637412,32,outer_04
sigmoid,sigmoid,0.05,True,eligible,1255,21,1234,1636,1615,1616,0,2,True,361,1615,2243,0.5,0.33120340788072417,0.02582265990606534,13,outer_04
none,none,0.0,True,not_applicable,1567,21,1546,1948,1927,1928,0,2,True,361,1927,2711,0.45769447482682046,0.4412193073303595,-0.15915437907842353,40,outer_05
none,none,0.05,True,not_applicable,1567,21,1546,1948,1927,1928,0,2,True,361,1927,2711,0.45769447482682046,0.4412193073303595,-0.1368170706769422,39,outer_05
sigmoid,sigmoid,0.0,True,eligible,1567,21,1546,1948,1927,1928,0,2,True,361,1927,2711,0.450409333465911,0.3318363174132144,-0.2699167071768567,40,outer_05
sigmoid,sigmoid,0.05,True,eligible,1567,21,1546,1948,1927,1928,0,2,True,361,1927,2711,0.450409333465911,0.3318363174132144,-0.12472573295200694,26,outer_05
