calibration_candidate,calibration,margin,eligible,eligibility_reason,raw_calibration_count,purged_count,retained_count,max_raw_label_end,max_retained_label_end,evaluation_start_row,overlap_count_after_purge,sigmoid_retained_class_count,sigmoid_finite_probability,calibration_start_row,calibration_end_row,evaluation_end_row,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,outer_fold
none,none,0.0,True,not_applicable,332,2,330,675,673,674,0,2,True,342,673,839,0.4822076978939724,0.4819277108433735,-0.10542490674494329,166,outer_01
none,none,0.05,True,not_applicable,332,2,330,675,673,674,0,2,True,342,673,839,0.4822076978939724,0.4819277108433735,-0.13398731088355476,128,outer_01
sigmoid,sigmoid,0.0,True,eligible,332,2,330,675,673,674,0,2,True,342,673,839,0.5,0.3386454183266932,-0.033672160481183155,166,outer_01
sigmoid,sigmoid,0.05,True,eligible,332,2,330,675,673,674,0,2,True,342,673,839,0.5,0.3386454183266932,0.0,0,outer_01
none,none,0.0,True,not_applicable,649,2,647,992,990,991,0,2,True,342,990,1315,0.5241617357001972,0.5166641244661379,-0.044503280147851175,325,outer_02
none,none,0.05,True,not_applicable,649,2,647,992,990,991,0,2,True,342,990,1315,0.5241617357001972,0.5166641244661379,0.007796923598363481,207,outer_02
sigmoid,sigmoid,0.0,True,eligible,649,2,647,992,990,991,0,2,True,342,990,1315,0.5,0.34210526315789475,-0.21029830074421063,325,outer_02
sigmoid,sigmoid,0.05,True,eligible,649,2,647,992,990,991,0,2,True,342,990,1315,0.5,0.34210526315789475,0.0,0,outer_02
none,none,0.0,True,not_applicable,966,2,964,1309,1307,1308,0,2,True,342,1307,1791,0.5126377851832863,0.49894736842105264,-0.23574243350822574,484,outer_03
none,none,0.05,True,not_applicable,966,2,964,1309,1307,1308,0,2,True,342,1307,1791,0.5126377851832863,0.49894736842105264,-0.20510961928602428,341,outer_03
sigmoid,sigmoid,0.0,True,eligible,966,2,964,1309,1307,1308,0,2,True,342,1307,1791,0.5,0.32684283727399166,-0.3478370684851474,484,outer_03
sigmoid,sigmoid,0.05,True,eligible,966,2,964,1309,1307,1308,0,2,True,342,1307,1791,0.5,0.32684283727399166,0.06214975467451038,69,outer_03
none,none,0.0,True,not_applicable,1283,2,1281,1626,1624,1625,0,2,True,342,1624,2266,0.5027672052198229,0.49157471089204385,-0.18737342207421454,642,outer_04
none,none,0.05,True,not_applicable,1283,2,1281,1626,1624,1625,0,2,True,342,1624,2266,0.5027672052198229,0.49157471089204385,-0.012020786962282023,374,outer_04
sigmoid,sigmoid,0.0,True,eligible,1283,2,1281,1626,1624,1625,0,2,True,342,1624,2266,0.5,0.3284518828451883,-0.4779227845746534,642,outer_04
sigmoid,sigmoid,0.05,True,eligible,1283,2,1281,1626,1624,1625,0,2,True,342,1624,2266,0.5,0.3284518828451883,0.0,0,outer_04
none,none,0.0,True,not_applicable,1600,2,1598,1943,1941,1942,0,2,True,342,1941,2741,0.5112861916418624,0.5107452262803329,-0.27228777025083684,800,outer_05
none,none,0.05,True,not_applicable,1600,2,1598,1943,1941,1942,0,2,True,342,1941,2741,0.5112861916418624,0.5107452262803329,-0.19694698620276818,421,outer_05
sigmoid,sigmoid,0.0,True,eligible,1600,2,1598,1943,1941,1942,0,2,True,342,1941,2741,0.5,0.3144815766923736,-0.784474374033766,800,outer_05
sigmoid,sigmoid,0.05,True,eligible,1600,2,1598,1943,1941,1942,0,2,True,342,1941,2741,0.5,0.3144815766923736,0.0,0,outer_05
