calibration_candidate,calibration,margin,eligible,eligibility_reason,raw_calibration_count,purged_count,retained_count,max_raw_label_end,max_retained_label_end,evaluation_start_row,overlap_count_after_purge,sigmoid_retained_class_count,sigmoid_finite_probability,calibration_start_row,calibration_end_row,evaluation_end_row,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,outer_fold
none,none,0.0,True,not_applicable,332,2,330,675,673,674,0,2,True,342,673,839,0.4830791575889615,0.48125,-0.1297732087500023,166,outer_01
none,none,0.05,True,not_applicable,332,2,330,675,673,674,0,2,True,342,673,839,0.4830791575889615,0.48125,-0.06202461614013941,132,outer_01
sigmoid,sigmoid,0.0,True,eligible,332,2,330,675,673,674,0,2,True,342,673,839,0.48939724037763255,0.37175687383156264,-0.06225498777984838,166,outer_01
sigmoid,sigmoid,0.05,True,eligible,332,2,330,675,673,674,0,2,True,342,673,839,0.48939724037763255,0.37175687383156264,0.0,0,outer_01
none,none,0.0,True,not_applicable,649,2,647,992,990,991,0,2,True,342,990,1315,0.5379684418145956,0.5345208623813182,-0.10474506931565744,325,outer_02
none,none,0.05,True,not_applicable,649,2,647,992,990,991,0,2,True,342,990,1315,0.5379684418145956,0.5345208623813182,-0.13171870262289279,224,outer_02
sigmoid,sigmoid,0.0,True,eligible,649,2,647,992,990,991,0,2,True,342,990,1315,0.5,0.34210526315789475,-0.21029830074421063,325,outer_02
sigmoid,sigmoid,0.05,True,eligible,649,2,647,992,990,991,0,2,True,342,990,1315,0.5,0.34210526315789475,0.0,0,outer_02
none,none,0.0,True,not_applicable,966,2,964,1309,1307,1308,0,2,True,342,1307,1791,0.5007604887635648,0.4423754215061821,-0.2967711510153589,484,outer_03
none,none,0.05,True,not_applicable,966,2,964,1309,1307,1308,0,2,True,342,1307,1791,0.5007604887635648,0.4423754215061821,-0.17791005154081818,388,outer_03
sigmoid,sigmoid,0.0,True,eligible,966,2,964,1309,1307,1308,0,2,True,342,1307,1791,0.5020080321285141,0.33129805013927577,-0.3241506332293359,484,outer_03
sigmoid,sigmoid,0.05,True,eligible,966,2,964,1309,1307,1308,0,2,True,342,1307,1791,0.5020080321285141,0.33129805013927577,-0.08856674524263539,169,outer_03
none,none,0.0,True,not_applicable,1283,2,1281,1626,1624,1625,0,2,True,342,1624,2266,0.5111367873232873,0.5038295764181323,-0.20100028350711321,642,outer_04
none,none,0.05,True,not_applicable,1283,2,1281,1626,1624,1625,0,2,True,342,1624,2266,0.5111367873232873,0.5038295764181323,-0.17596395342203613,427,outer_04
sigmoid,sigmoid,0.0,True,eligible,1283,2,1281,1626,1624,1625,0,2,True,342,1624,2266,0.5029808140438092,0.33781765718335527,-0.455651022153109,642,outer_04
sigmoid,sigmoid,0.05,True,eligible,1283,2,1281,1626,1624,1625,0,2,True,342,1624,2266,0.5029808140438092,0.33781765718335527,0.0,0,outer_04
none,none,0.0,True,not_applicable,1600,2,1598,1943,1941,1942,0,2,True,342,1941,2741,0.5034264462497876,0.5,-0.692832501945662,800,outer_05
none,none,0.05,True,not_applicable,1600,2,1598,1943,1941,1942,0,2,True,342,1941,2741,0.5034264462497876,0.5,-0.23955840210885945,493,outer_05
sigmoid,sigmoid,0.0,True,eligible,1600,2,1598,1943,1941,1942,0,2,True,342,1941,2741,0.5,0.3144815766923736,-0.784474374033766,800,outer_05
sigmoid,sigmoid,0.05,True,eligible,1600,2,1598,1943,1941,1942,0,2,True,342,1941,2741,0.5,0.3144815766923736,0.0,0,outer_05
