calibration_candidate,calibration,margin,eligible,eligibility_reason,raw_calibration_count,purged_count,retained_count,max_raw_label_end,max_retained_label_end,evaluation_start_row,overlap_count_after_purge,sigmoid_retained_class_count,sigmoid_finite_probability,calibration_start_row,calibration_end_row,evaluation_end_row,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,outer_fold
none,none,0.0,True,not_applicable,329,6,323,680,674,675,0,2,True,346,674,839,0.43324491600353665,0.4297794117647059,0.06633863181890065,33,outer_01
none,none,0.05,True,not_applicable,329,6,323,680,674,675,0,2,True,346,674,839,0.43324491600353665,0.4297794117647059,-0.049906975165578175,33,outer_01
sigmoid,sigmoid,0.0,True,eligible,329,6,323,680,674,675,0,2,True,346,674,839,0.504420866489832,0.35193642674461084,0.0822614453231173,33,outer_01
sigmoid,sigmoid,0.05,True,eligible,329,6,323,680,674,675,0,2,True,346,674,839,0.504420866489832,0.35193642674461084,0.0,0,outer_01
none,none,0.0,True,not_applicable,645,6,639,996,990,991,0,2,True,346,990,1313,0.5715638528138528,0.5716470645176903,0.23811373886413512,65,outer_02
none,none,0.05,True,not_applicable,645,6,639,996,990,991,0,2,True,346,990,1313,0.5715638528138528,0.5716470645176903,0.19766496152668095,60,outer_02
sigmoid,sigmoid,0.0,True,eligible,645,6,639,996,990,991,0,2,True,346,990,1313,0.4736394557823129,0.4416773367477592,-0.09393186642411366,65,outer_02
sigmoid,sigmoid,0.05,True,eligible,645,6,639,996,990,991,0,2,True,346,990,1313,0.4736394557823129,0.4416773367477592,0.0,0,outer_02
none,none,0.0,True,not_applicable,961,6,955,1312,1306,1307,0,2,True,346,1306,1787,0.5302990919803147,0.5105560274651377,0.1095647004643085,97,outer_03
none,none,0.05,True,not_applicable,961,6,955,1312,1306,1307,0,2,True,346,1306,1787,0.5302990919803147,0.5105560274651377,0.060613773076901155,90,outer_03
sigmoid,sigmoid,0.0,True,eligible,961,6,955,1312,1306,1307,0,2,True,346,1306,1787,0.47657170582934777,0.33725651058100886,-0.1784619970820201,97,outer_03
sigmoid,sigmoid,0.05,True,eligible,961,6,955,1312,1306,1307,0,2,True,346,1306,1787,0.47657170582934777,0.33725651058100886,-0.14195920327266467,73,outer_03
none,none,0.0,True,not_applicable,1277,6,1271,1628,1622,1623,0,2,True,346,1622,2261,0.5301063913781533,0.5174787900324257,0.21666171338875628,128,outer_04
none,none,0.05,True,not_applicable,1277,6,1271,1628,1622,1623,0,2,True,346,1622,2261,0.5301063913781533,0.5174787900324257,0.15777882761788684,122,outer_04
sigmoid,sigmoid,0.0,True,eligible,1277,6,1271,1628,1622,1623,0,2,True,346,1622,2261,0.5399115708025739,0.49617030862806943,-0.1248362275675916,128,outer_04
sigmoid,sigmoid,0.05,True,eligible,1277,6,1271,1628,1622,1623,0,2,True,346,1622,2261,0.5399115708025739,0.49617030862806943,0.02565460320355696,2,outer_04
none,none,0.0,True,not_applicable,1593,6,1587,1944,1938,1939,0,2,True,346,1938,2735,0.5654336500955522,0.5650789306931339,0.33878844347104947,160,outer_05
none,none,0.05,True,not_applicable,1593,6,1587,1944,1938,1939,0,2,True,346,1938,2735,0.5654336500955522,0.5650789306931339,0.36543116447907115,142,outer_05
sigmoid,sigmoid,0.0,True,eligible,1593,6,1587,1944,1938,1939,0,2,True,346,1938,2735,0.5026800439802089,0.3014069022893732,-0.4367813642573547,160,outer_05
sigmoid,sigmoid,0.05,True,eligible,1593,6,1587,1944,1938,1939,0,2,True,346,1938,2735,0.5026800439802089,0.3014069022893732,0.018988479397176523,1,outer_05
