calibration_candidate,calibration,margin,eligible,eligibility_reason,raw_calibration_count,purged_count,retained_count,max_raw_label_end,max_retained_label_end,evaluation_start_row,overlap_count_after_purge,sigmoid_retained_class_count,sigmoid_finite_probability,calibration_start_row,calibration_end_row,evaluation_end_row,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,outer_fold
none,none,0.0,True,not_applicable,319,21,298,700,679,680,0,2,True,361,679,839,0.41324200913242004,0.40511134593557985,-0.18257140332765592,8,outer_01
none,none,0.05,True,not_applicable,319,21,298,700,679,680,0,2,True,361,679,839,0.41324200913242004,0.40511134593557985,-0.18257140332765592,8,outer_01
sigmoid,sigmoid,0.0,True,eligible,319,21,298,700,679,680,0,2,True,361,679,839,0.5,0.3522267206477733,0.06378462123683898,8,outer_01
sigmoid,sigmoid,0.05,True,eligible,319,21,298,700,679,680,0,2,True,361,679,839,0.5,0.3522267206477733,0.015027554053925363,8,outer_01
none,none,0.0,True,not_applicable,631,21,610,1012,991,992,0,2,True,361,991,1307,0.5226251604621309,0.43667887667887667,0.1333043494442228,16,outer_02
none,none,0.05,True,not_applicable,631,21,610,1012,991,992,0,2,True,361,991,1307,0.5226251604621309,0.43667887667887667,0.06445999769943452,16,outer_02
sigmoid,sigmoid,0.0,True,eligible,631,21,610,1012,991,992,0,2,True,361,991,1307,0.5,0.3416666666666667,-0.04172638319276249,16,outer_02
sigmoid,sigmoid,0.05,True,eligible,631,21,610,1012,991,992,0,2,True,361,991,1307,0.5,0.3416666666666667,-0.04172638319276249,16,outer_02
none,none,0.0,True,not_applicable,943,21,922,1324,1303,1304,0,2,True,361,1303,1775,0.5019969278033795,0.462635311683464,0.10544791686404156,24,outer_03
none,none,0.05,True,not_applicable,943,21,922,1324,1303,1304,0,2,True,361,1303,1775,0.5019969278033795,0.462635311683464,0.07409129005110963,24,outer_03
sigmoid,sigmoid,0.0,True,eligible,943,21,922,1324,1303,1304,0,2,True,361,1303,1775,0.5,0.3149492017416546,-0.1295618517854241,24,outer_03
sigmoid,sigmoid,0.05,True,eligible,943,21,922,1324,1303,1304,0,2,True,361,1303,1775,0.5,0.3149492017416546,-0.1295618517854241,24,outer_03
none,none,0.0,True,not_applicable,1255,21,1234,1636,1615,1616,0,2,True,361,1615,2243,0.4971547972856462,0.4496209710732268,0.10554201963221854,32,outer_04
none,none,0.05,True,not_applicable,1255,21,1234,1636,1615,1616,0,2,True,361,1615,2243,0.4971547972856462,0.4496209710732268,0.11133516882325288,32,outer_04
sigmoid,sigmoid,0.0,True,eligible,1255,21,1234,1636,1615,1616,0,2,True,361,1615,2243,0.5,0.33120340788072417,-0.17629513172637412,32,outer_04
sigmoid,sigmoid,0.05,True,eligible,1255,21,1234,1636,1615,1616,0,2,True,361,1615,2243,0.5,0.33120340788072417,-0.13361336162599777,25,outer_04
none,none,0.0,True,not_applicable,1567,21,1546,1948,1927,1928,0,2,True,361,1927,2711,0.4810049385171191,0.4763729246487867,-0.05497916758801466,40,outer_05
none,none,0.05,True,not_applicable,1567,21,1546,1948,1927,1928,0,2,True,361,1927,2711,0.4810049385171191,0.4763729246487867,-0.04216527759240211,39,outer_05
sigmoid,sigmoid,0.0,True,eligible,1567,21,1546,1948,1927,1928,0,2,True,361,1927,2711,0.493536840011932,0.3184160010269037,-0.3570227057952262,40,outer_05
sigmoid,sigmoid,0.05,True,eligible,1567,21,1546,1948,1927,1928,0,2,True,361,1927,2711,0.493536840011932,0.3184160010269037,-0.11827122604651752,23,outer_05
