calibration_candidate,calibration,margin,eligible,eligibility_reason,raw_calibration_count,purged_count,retained_count,max_raw_label_end,max_retained_label_end,evaluation_start_row,overlap_count_after_purge,sigmoid_retained_class_count,sigmoid_finite_probability,calibration_start_row,calibration_end_row,evaluation_end_row,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,outer_fold
none,none,0.0,True,not_applicable,319,21,298,700,679,680,0,2,True,361,679,839,0.4112738151472209,0.41102756892230574,-0.18257140332765592,8,outer_01
none,none,0.05,True,not_applicable,319,21,298,700,679,680,0,2,True,361,679,839,0.4112738151472209,0.41102756892230574,-0.20383845002501294,8,outer_01
sigmoid,sigmoid,0.0,True,eligible,319,21,298,700,679,680,0,2,True,361,679,839,0.5,0.3522267206477733,0.06378462123683898,8,outer_01
sigmoid,sigmoid,0.05,True,eligible,319,21,298,700,679,680,0,2,True,361,679,839,0.5,0.3522267206477733,0.06378462123683898,8,outer_01
none,none,0.0,True,not_applicable,631,21,610,1012,991,992,0,2,True,361,991,1307,0.461007702182285,0.421404058898988,0.1333043494442228,16,outer_02
none,none,0.05,True,not_applicable,631,21,610,1012,991,992,0,2,True,361,991,1307,0.461007702182285,0.421404058898988,0.14139625624370483,16,outer_02
sigmoid,sigmoid,0.0,True,eligible,631,21,610,1012,991,992,0,2,True,361,991,1307,0.5,0.3416666666666667,-0.04172638319276249,16,outer_02
sigmoid,sigmoid,0.05,True,eligible,631,21,610,1012,991,992,0,2,True,361,991,1307,0.5,0.3416666666666667,-0.04172638319276249,16,outer_02
none,none,0.0,True,not_applicable,943,21,922,1324,1303,1304,0,2,True,361,1303,1775,0.5405801030089455,0.4847457627118644,0.01987828069054945,24,outer_03
none,none,0.05,True,not_applicable,943,21,922,1324,1303,1304,0,2,True,361,1303,1775,0.5405801030089455,0.4847457627118644,0.005160428375992648,24,outer_03
sigmoid,sigmoid,0.0,True,eligible,943,21,922,1324,1303,1304,0,2,True,361,1303,1775,0.5,0.3149492017416546,-0.1295618517854241,24,outer_03
sigmoid,sigmoid,0.05,True,eligible,943,21,922,1324,1303,1304,0,2,True,361,1303,1775,0.5,0.3149492017416546,-0.1295618517854241,24,outer_03
none,none,0.0,True,not_applicable,1255,21,1234,1636,1615,1616,0,2,True,361,1615,2243,0.44956738718086564,0.44311215637891815,-0.14112514971298284,32,outer_04
none,none,0.05,True,not_applicable,1255,21,1234,1636,1615,1616,0,2,True,361,1615,2243,0.44956738718086564,0.44311215637891815,-0.2570728097586563,32,outer_04
sigmoid,sigmoid,0.0,True,eligible,1255,21,1234,1636,1615,1616,0,2,True,361,1615,2243,0.5,0.33120340788072417,-0.17629513172637412,32,outer_04
sigmoid,sigmoid,0.05,True,eligible,1255,21,1234,1636,1615,1616,0,2,True,361,1615,2243,0.5,0.33120340788072417,-0.013558167564643446,17,outer_04
none,none,0.0,True,not_applicable,1567,21,1546,1948,1927,1928,0,2,True,361,1927,2711,0.48914852010208476,0.4877637807911418,0.09645322475120761,40,outer_05
none,none,0.05,True,not_applicable,1567,21,1546,1948,1927,1928,0,2,True,361,1927,2711,0.48914852010208476,0.4877637807911418,0.03475123347393981,39,outer_05
sigmoid,sigmoid,0.0,True,eligible,1567,21,1546,1948,1927,1928,0,2,True,361,1927,2711,0.4945842033741009,0.38006893993540275,-0.18900448802657688,40,outer_05
sigmoid,sigmoid,0.05,True,eligible,1567,21,1546,1948,1927,1928,0,2,True,361,1927,2711,0.4945842033741009,0.38006893993540275,-0.2735772592972171,22,outer_05
