horizon,fold_id,candidate,n_validation,balanced_accuracy,macro_f1,roc_auc
1,wf_02,logistic_c02,221,0.5572575360419397,0.5209073639512796,0.6078800786369594
1,wf_02,logistic_c10,221,0.46674311926605505,0.4221253771371103,0.5275229357798166
1,wf_02,random_forest,221,0.7001965923984272,0.6986363636363637,0.7737549148099606
1,wf_02,extra_trees,221,0.7316923328964613,0.7298456438412928,0.7702326343381389
1,wf_02,hist_gradient_boosting,221,0.6644823066841415,0.6639957264957266,0.7155963302752293
1,wf_03,logistic_c02,221,0.654945054945055,0.657136524822695,0.7029585798816568
1,wf_03,logistic_c10,221,0.606043956043956,0.6063724520087077,0.6473372781065089
1,wf_03,random_forest,221,0.6796703296703297,0.6818230655177601,0.7333051563820795
1,wf_03,extra_trees,221,0.671978021978022,0.6736436597110755,0.7409129332206255
1,wf_03,hist_gradient_boosting,221,0.6538461538461539,0.6558823529411765,0.6964497041420118
1,wf_04,logistic_c02,223,0.7146712858524009,0.7147121535181237,0.793022881082823
1,wf_04,logistic_c10,223,0.7197067354173381,0.7199400421325555,0.7859329680953915
1,wf_04,random_forest,223,0.7520544634224944,0.7523872973573174,0.7837576538833387
1,wf_04,extra_trees,223,0.7470190138575572,0.747411003236246,0.7766677408959072
1,wf_04,hist_gradient_boosting,223,0.7031904608443442,0.7033139816158684,0.736303577183371
5,wf_02,logistic_c02,219,0.3883094125500668,0.36714828897338403,0.38459612817089456
5,wf_02,logistic_c10,219,0.3143775033377837,0.2789844664913715,0.2923898531375167
5,wf_02,random_forest,219,0.7788301068090788,0.778377466689155,0.8315253671562083
5,wf_02,extra_trees,219,0.7879672897196262,0.7876117389104402,0.8270193591455274
5,wf_02,hist_gradient_boosting,219,0.7512099465954606,0.7501690045631232,0.7789552736982643
5,wf_03,logistic_c02,219,0.6148734177215189,0.6171328671328671,0.6694394213381556
5,wf_03,logistic_c10,219,0.5566003616636528,0.5556521739130434,0.5501808318264015
5,wf_03,random_forest,219,0.7310578661844485,0.727078511661029,0.8156419529837252
5,wf_03,extra_trees,219,0.7390144665461121,0.7383512544802867,0.8114828209764918
5,wf_03,hist_gradient_boosting,219,0.709493670886076,0.7204438334642577,0.7863471971066908
5,wf_04,logistic_c02,222,0.7467696058512799,0.747008547008547,0.821292157659488
5,wf_04,logistic_c10,222,0.7069890288500609,0.7069158119224129,0.7832588378707843
5,wf_04,random_forest,222,0.7921982933766761,0.7923715029277814,0.8287687931735067
5,wf_04,extra_trees,222,0.778179601787891,0.7785198004682887,0.8227549776513612
5,wf_04,hist_gradient_boosting,222,0.6466477041852905,0.6287625418060201,0.7265339292970338
10,wf_02,logistic_c02,217,0.3035653505786249,0.2680370361985829,0.25161674608577267
10,wf_02,logistic_c10,217,0.29799183117767186,0.2535773252614199,0.19213750850918992
10,wf_02,random_forest,217,0.8090112321307011,0.8097508820699241,0.8882743362831859
10,wf_02,extra_trees,217,0.8042035398230089,0.8049563430919363,0.8744894486044928
10,wf_02,hist_gradient_boosting,217,0.7453624914908101,0.7437007874015749,0.8014805990469708
10,wf_03,logistic_c02,217,0.5630747126436781,0.5611906495187252,0.6711685823754789
10,wf_03,logistic_c10,217,0.46288314176245215,0.46019900497512434,0.49051724137931035
10,wf_03,random_forest,217,0.7260536398467433,0.7384133986509016,0.8849616858237548
10,wf_03,extra_trees,217,0.8162835249042146,0.8240064882400648,0.8855363984674329
10,wf_03,hist_gradient_boosting,217,0.6913793103448276,0.7022394822006472,0.8394157088122605
10,wf_04,logistic_c02,219,0.6848464507467695,0.6803586321934946,0.7596912233596241
10,wf_04,logistic_c10,219,0.6558566873636515,0.652902902902903,0.7305755999328747
10,wf_04,random_forest,219,0.6361386138613861,0.6227310924369748,0.7399731498573585
10,wf_04,extra_trees,219,0.7088437657325055,0.7072681704260652,0.7333445208927672
10,wf_04,hist_gradient_boosting,219,0.6199446215808021,0.5904078078981878,0.6368518207752979
20,wf_02,logistic_c02,213,0.36908602150537634,0.30506616553128185,0.29811827956989245
20,wf_02,logistic_c10,213,0.3416666666666667,0.27796610169491526,0.19059139784946239
20,wf_02,random_forest,213,0.7513440860215054,0.7489603949387356,0.7758064516129033
20,wf_02,extra_trees,213,0.6987903225806451,0.6990243355388583,0.7722222222222223
20,wf_02,hist_gradient_boosting,213,0.6330645161290323,0.6336429308565532,0.7487903225806452
20,wf_03,logistic_c02,213,0.4138003355704698,0.3917761279268989,0.42114093959731547
20,wf_03,logistic_c10,213,0.42156040268456374,0.4131241565452092,0.4013213087248322
20,wf_03,random_forest,213,0.6975146812080537,0.7222769915725871,0.9047818791946308
20,wf_03,extra_trees,213,0.7342701342281879,0.7484817813765182,0.8871644295302014
20,wf_03,hist_gradient_boosting,213,0.5,0.4116022099447514,0.6219588926174497
20,wf_04,logistic_c02,213,0.5951644271570014,0.5951644271570014,0.6940417256011315
20,wf_04,logistic_c10,213,0.5803129420084866,0.5803466672569897,0.669466053748232
20,wf_04,random_forest,213,0.5984794908062234,0.5871449259218002,0.672029702970297
20,wf_04,extra_trees,213,0.636713224893918,0.6336009174311927,0.7144625176803394
20,wf_04,hist_gradient_boosting,213,0.6178836633663367,0.6148112208892025,0.6923620933521925
