horizon,n_non_overlapping_trades,hit_rate,mean_net_log_return,cumulative_net_return,max_drawdown,annualized_sharpe
1,796,0.5025125628140703,-0.00018206565618001023,-0.13491218962598528,-0.41591094796362515,-0.22933119166251592
5,159,0.5283018867924528,0.002849267855619629,0.5730770237794063,-0.14697308836272283,0.7741012919485387
10,80,0.425,-0.006175109931028072,-0.3898245831097874,-0.4862881348455377,-0.8291154946455371
20,40,0.4,-0.019024945190272445,-0.5327999813787055,-0.6637453058383509,-1.0910945320996535
