horizon,n_labeled,up_count,down_count,up_rate,down_rate
1,4016,2101,1915,0.5231573705179283,0.47684262948207173
5,4012,2176,1836,0.5423728813559322,0.4576271186440678
10,4007,2184,1823,0.5450461692038931,0.4549538307961068
20,3997,2145,1852,0.5366524893670253,0.46334751063297475
