year,observations,start_date,end_date,close_min,close_p05,close_median,close_mean,close_p95,close_max,close_std,return_mean,return_std,return_p01,return_p05,return_median,return_p95,return_p99,volume_mean,volume_median,volume_zero_rows,bull_rows,bear_rows,unclassified_regime_rows
2011,256,2011-01-03T00:00:00,2011-12-30T00:00:00,1313.45,1355.96,1544.8249999999998,1573.0946875,1824.08,1899.54,149.05172901042138,0.00039376581333065984,0.012635490140812122,-0.03612171269120085,-0.023683532275994512,0.0013779550393016038,0.018564432333798734,0.03046230328867097,52704.23046875,54047.5,0,1,3,252
2012,257,2012-01-03T00:00:00,2012-12-31T00:00:00,1538.13,1571.362,1663.86,1668.7513618677042,1771.336,1790.09,63.235331552155834,0.00026952111377245315,0.009198908230438056,-0.02101160279792758,-0.014667808774661494,0.0006333585264464148,0.01412480329024852,0.0253953777081211,110265.45525291828,112335.0,0,151,106,0
2013,258,2013-01-02T00:00:00,2013-12-31T00:00:00,1189.7,1224.5565,1368.72,1409.5986046511628,1671.601,1691.93,146.8503903901618,-0.0012733242505849098,0.01348353018750994,-0.04476826122417829,-0.022019521280977637,-0.0003535395177602929,0.016823804334269308,0.028636042717274164,166912.7441860465,162817.5,0,15,243,0
2014,258,2014-01-02T00:00:00,2014-12-31T00:00:00,1141.25,1176.1665,1275.5,1266.0377519379845,1336.7465,1382.27,50.53039511625783,-5.961752569434741e-05,0.008995888216218642,-0.02280271792117106,-0.016206871258508747,-0.0003381915885598552,0.01330740831814476,0.0257936741608144,63431.76356589147,60196.5,0,52,206,0
2015,258,2015-01-02T00:00:00,2015-12-31T00:00:00,1051.55,1069.192,1167.04,1159.3445736434107,1260.2359999999999,1301.38,56.85768688710045,-0.00043975034831140786,0.00861095733431475,-0.02310968776575459,-0.013676837999844248,-0.0009631302299863975,0.014068749416794937,0.021602456894234123,82665.34108527131,80788.5,0,13,245,0
2016,258,2016-01-04T00:00:00,2016-12-30T00:00:00,1074.43,1103.4465,1256.25,1249.4337984496124,1348.713,1364.93,72.6981799959192,0.00031967710510712985,0.00980632955904918,-0.023086174261570225,-0.015614366868897632,2.9140033241947805e-05,0.015227958066552723,0.02525447924089041,117535.06976744186,110594.0,0,200,58,0
2017,257,2017-01-03T00:00:00,2017-12-29T00:00:00,1159.09,1199.374,1260.74,1258.4562645914395,1310.404,1349.31,34.13401538465971,0.0004774804701602582,0.0062751092417805375,-0.0139361395632989,-0.0095759695555234,0.0013015750893856648,0.0101922120044172,0.015159199747881366,99702.63813229572,83455.0,0,138,119,0
2018,258,2018-01-02T00:00:00,2018-12-31T00:00:00,1173.93,1193.8865,1262.505,1268.5582558139536,1345.835,1357.97,53.910333641282584,-6.6963004096596e-05,0.006146811227371608,-0.015439308231382247,-0.010963860196281372,-9.1921657882299e-05,0.01047046261472272,0.015735686288135157,111038.17054263566,98783.0,0,109,149,0
2019,258,2019-01-02T00:00:00,2019-12-31T00:00:00,1270.48,1278.769,1408.885,1393.5802713178296,1519.088,1552.6,92.49725501648848,0.0006659253252726289,0.007141014749285349,-0.01758985584733763,-0.011079370044405134,0.0008378708299758841,0.012990460440461711,0.019573647172384596,59304.72093023256,51777.5,0,258,0,0
2020,259,2020-01-02T00:00:00,2020-12-31T00:00:00,1474.34,1552.712,1774.97,1771.9446718146717,1959.669,2063.25,140.6425828331284,0.0008481603964710405,0.011928456687148984,-0.03732759105174839,-0.017370648286953116,0.002146435983638284,0.01844541632347054,0.02799282694550253,105222.06563706564,97747.0,0,259,0,0
2021,258,2021-01-04T00:00:00,2021-12-31T00:00:00,1682.53,1726.9155,1793.08,1798.969573643411,1893.5655,1950.03,48.55400608788694,-0.00013624752466652747,0.008468648930146181,-0.02290572026156756,-0.01601958066308482,0.00036439483485084523,0.013371581825286945,0.0179281743152382,105988.7054263566,99671.5,0,73,185,0
2022,258,2022-01-03T00:00:00,2022-12-30T00:00:00,1622.4,1651.7175,1804.545,1801.6021317829457,1955.1309999999999,2050.15,91.68529575596408,-1.0019433504876053e-05,0.009329908182831277,-0.02155146585011929,-0.015866363544728746,0.00043024242571787497,0.0157013313492062,0.024416538716281588,118408.21705426357,115540.0,0,121,137,0
2023,257,2023-01-03T00:00:00,2023-12-29T00:00:00,1810.82,1832.704,1943.44,1942.9729961089492,2036.664,2077.49,59.58012007493736,0.0004801191642989694,0.008263857241725674,-0.019419465989689508,-0.012006328282720524,-0.00010824993373859115,0.013328744496887165,0.024202124189686244,142552.74319066148,136165.0,0,245,12,0
2024,259,2024-01-02T00:00:00,2024-12-31T00:00:00,1992.1,2024.257,2382.85,2389.527528957529,2715.808,2787.21,222.69160709799152,0.0009292971185131627,0.009441688082473592,-0.028766966598817518,-0.013761987462796643,0.0015656490564470715,0.016456053752769862,0.01898022303490153,147137.65637065636,99238.0,0,259,0,0
2025,258,2025-01-02T00:00:00,2025-12-31T00:00:00,2635.77,2736.734,3345.49,3445.0951937984496,4302.7145,4533.32,483.7916778706517,0.0019306918108085288,0.011961347289435173,-0.030057093610955994,-0.016433513217128312,0.0021437691118459945,0.02208790529746776,0.029133820189533484,114825.93798449612,91785.5,0,258,0,0
2026,150,2026-01-02T00:00:00,2026-07-31T00:00:00,3979.87,4026.5735,4596.795,4594.743533333333,5177.1265,5416.2,369.4967590730879,-0.00042716820194704276,0.01969740430904566,-0.047137323346777865,-0.03499243173932527,0.0017108580749320978,0.02648401641125213,0.041691573086058656,506670.3933333333,486592.0,0,115,35,0
