<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.04.08	1457.85	1474.83	1456.25	1474.53	14841	0	50
2011.04.11	1475.20	1476.20	1459.25	1462.90	16904	0	50
2011.04.12	1462.50	1467.20	1445.63	1452.60	20122	0	50
2011.04.13	1452.35	1462.10	1451.10	1456.97	22590	0	50
2011.04.14	1456.18	1474.55	1452.30	1473.75	23550	0	50
2011.04.15	1476.85	1487.85	1471.34	1486.35	18501	0	50
2011.04.18	1485.30	1497.40	1477.30	1495.00	15084	0	50
2011.04.19	1495.90	1498.95	1489.40	1496.65	2327	0	50
2011.04.20	1499.55	1505.65	1495.83	1502.10	2330	0	50
2011.04.21	1507.60	1507.95	1501.95	1504.95	905	0	0
2011.04.25	1516.23	1517.98	1503.18	1508.43	1242	0	75
2011.04.26	1499.50	1506.10	1493.15	1505.90	9995	0	50
