date,open,high,low,close,volume
2023-07-03,1918.6,1930.98,1909.97,1921.48,117342
2023-07-04,1921.28,1930.75,1919.74,1925.89,59937
2023-07-05,1925.84,1935.05,1914.74,1915.21,137542
2023-07-06,1916.2,1927.59,1902.59,1910.93,154947
2023-07-07,1910.59,1934.97,1909.45,1925.31,155209
2023-07-10,1924.76,1928.06,1912.69,1925.28,130186
2023-07-11,1925.14,1938.47,1924.35,1932.09,140599
2023-07-12,1932.32,1959.7,1932.14,1957.35,169381
2023-07-13,1957.14,1963.65,1952.38,1960.39,174561
2023-07-14,1960.2,1963.78,1950.93,1955.45,155997
2023-07-17,1955.47,1959.85,1945.77,1954.92,122773
2023-07-18,1954.69,1984.36,1954.53,1978.73,167005
2023-07-19,1978.93,1980.93,1969.69,1976.97,139338
2023-07-20,1977.33,1987.43,1965.36,1969.5,150787
2023-07-21,1970.2,1973.8,1956.81,1961.84,131317
2023-07-24,1962.41,1967.88,1953.47,1954.87,128955
2023-07-25,1955.2,1965.69,1951.74,1964.85,115002
2023-07-26,1964.93,1978.32,1962.0,1972.27,151452
2023-07-27,1971.43,1982.23,1942.57,1945.52,171566
2023-07-28,1946.81,1963.56,1945.35,1959.15,161272
2023-07-31,1959.58,1972.39,1950.87,1965.52,124338
2023-08-01,1965.68,1965.98,1941.26,1944.19,137730
2023-08-02,1949.98,1954.84,1932.94,1934.87,138045
2023-08-03,1935.38,1938.88,1929.51,1933.98,143999
2023-08-04,1934.62,1946.95,1925.53,1942.65,131485
2023-08-07,1942.75,1946.72,1931.53,1936.52,84513
2023-08-08,1936.21,1938.06,1922.73,1925.22,117058
2023-08-09,1925.02,1932.34,1913.98,1914.7,104727
2023-08-10,1914.71,1930.14,1912.1,1912.33,138980
2023-08-11,1912.57,1920.95,1910.77,1913.62,106435
2023-08-14,1913.35,1916.24,1902.69,1907.42,110592
2023-08-15,1907.17,1911.65,1896.35,1901.85,149099
2023-08-16,1901.65,1907.22,1891.85,1891.92,115345
2023-08-17,1892.05,1903.49,1885.04,1889.33,132708
2023-08-18,1889.45,1896.91,1886.76,1889.37,109839
2023-08-21,1889.66,1898.78,1884.81,1894.67,124492
2023-08-22,1894.68,1904.53,1889.11,1897.38,111168
2023-08-23,1897.19,1920.38,1897.18,1915.38,130444
2023-08-24,1915.38,1923.4,1911.77,1916.69,123400
