horizon,no_hurst_ba,hurst_ba,delta_ba,ci_low,ci_high,p_raw,p_holm
1,0.5230686368307289,0.5081999220438681,-0.014868714786860804,-0.030894262459083548,0.0017156333532695473,0.12168783121687832,0.44995500449955006
5,0.49715636695155396,0.4878106026072829,-0.00934576434427109,-0.02209783541433406,0.0026886734973247594,0.1743825617438256,0.44995500449955006
10,0.5074394513521692,0.4751797369141441,-0.032259714438025056,-0.06917885108149889,0.006890040915916365,0.15058494150584942,0.44995500449955006
20,0.4993443937617896,0.4731490465173114,-0.026195347244478195,-0.05673857009392553,0.006336179532205586,0.11248875112488751,0.44995500449955006
