horizon,no_hurst_ba,hurst_ba,delta_ba,ci_low,ci_high,p_raw,paired_row_count,row_ids_identical,y_true_identical,bootstrap_method,bootstrap_block_length,bootstrap_iterations,bootstrap_seed,sign_flip_method,sign_flip_block_length,sign_flip_block_count,sign_flip_permutations,sign_flip_seed,p_holm,multiplicity_family
1,0.5230686368307289,0.49490096027780733,-0.028167676552921572,-0.04813965960520689,-0.00700838998064057,0.0143985601439856,2377,True,True,moving_block,10,10000,1043,non_overlapping_chronological_block_sign_flip,10,238,10000,1043,0.0575942405759424,secondary_robust_vs_no_hurst_across_horizons
5,0.49715636695155396,0.5101738474355145,0.013017480483960564,-0.01766093306417382,0.04032216721918955,0.45465453454654536,2369,True,True,moving_block,10,10000,1047,non_overlapping_chronological_block_sign_flip,10,237,10000,1047,0.9093090690930907,secondary_robust_vs_no_hurst_across_horizons
10,0.5074394513521692,0.47641088074689875,-0.031028570605270422,-0.07028439743490097,0.009687654301938969,0.1466853314668533,2359,True,True,moving_block,10,10000,1052,non_overlapping_chronological_block_sign_flip,10,236,10000,1052,0.4400559944005599,secondary_robust_vs_no_hurst_across_horizons
20,0.4993443937617896,0.5078061776253884,0.008461783863598804,-0.022250547139137204,0.03937284056877043,0.607039296070393,2339,True,True,moving_block,10,10000,1062,non_overlapping_chronological_block_sign_flip,10,234,10000,1062,0.9093090690930907,secondary_robust_vs_no_hurst_across_horizons
