calibration,margin,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,calibration_start_row,calibration_end_row,evaluation_start_row,evaluation_end_row,outer_fold
none,0.0,0.5556281771968046,0.5050685748360167,0.06114314398933729,166,342,673,674,839,outer_01
none,0.05,0.5556281771968046,0.5050685748360167,0.05099843009644267,135,342,673,674,839,outer_01
sigmoid,0.0,0.5,0.3386454183266932,-0.033672160481183155,166,342,673,674,839,outer_01
sigmoid,0.05,0.5,0.3386454183266932,0.0,0,342,673,674,839,outer_01
none,0.0,0.525887573964497,0.5257901917683621,-0.0655115488896055,325,342,990,991,1315,outer_02
none,0.05,0.525887573964497,0.5257901917683621,0.01203731432228903,238,342,990,991,1315,outer_02
sigmoid,0.0,0.5,0.34210526315789475,-0.21029830074421063,325,342,990,991,1315,outer_02
sigmoid,0.05,0.5,0.34210526315789475,0.0,0,342,990,991,1315,outer_02
none,0.0,0.5207639066905921,0.5168605273868432,-0.17516611189655049,484,342,1307,1308,1791,outer_03
none,0.05,0.5207639066905921,0.5168605273868432,-0.07832152075101426,305,342,1307,1308,1791,outer_03
sigmoid,0.0,0.5,0.32684283727399166,-0.3478370684851474,484,342,1307,1308,1791,outer_03
sigmoid,0.05,0.5,0.32684283727399166,0.020651960098071756,27,342,1307,1308,1791,outer_03
none,0.0,0.5082433587074724,0.4491094954957441,-0.17496413809577027,642,342,1624,1625,2266,outer_04
none,0.05,0.5082433587074724,0.4491094954957441,-0.03911807113402062,520,342,1624,1625,2266,outer_04
sigmoid,0.0,0.48040624514525404,0.4194055887924484,-0.4642654730012532,642,342,1624,1625,2266,outer_04
sigmoid,0.05,0.48040624514525404,0.4194055887924484,0.0,0,342,1624,1625,2266,outer_04
none,0.0,0.5130796483566273,0.5099877496937424,-0.41419492498794497,800,342,1941,1942,2741,outer_05
none,0.05,0.5130796483566273,0.5099877496937424,-0.4102457204275612,556,342,1941,1942,2741,outer_05
sigmoid,0.0,0.4992857637293831,0.3339705837007801,-0.7079471674774894,800,342,1941,1942,2741,outer_05
sigmoid,0.05,0.4992857637293831,0.3339705837007801,0.0,0,342,1941,1942,2741,outer_05
