calibration,margin,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,calibration_start_row,calibration_end_row,evaluation_start_row,evaluation_end_row,outer_fold
none,0.0,0.43324491600353665,0.4297794117647059,0.06633863181890065,33,346,674,675,839,outer_01
none,0.05,0.43324491600353665,0.4297794117647059,-0.049906975165578175,33,346,674,675,839,outer_01
sigmoid,0.0,0.43435013262599464,0.37142857142857144,0.015010636347175477,33,346,674,675,839,outer_01
sigmoid,0.05,0.43435013262599464,0.37142857142857144,0.0,0,346,674,675,839,outer_01
none,0.0,0.5715638528138528,0.5716470645176903,0.23811373886413512,65,346,990,991,1313,outer_02
none,0.05,0.5715638528138528,0.5716470645176903,0.19766496152668095,60,346,990,991,1313,outer_02
sigmoid,0.0,0.4737167594310452,0.4173881673881674,0.037505254526604255,65,346,990,991,1313,outer_02
sigmoid,0.05,0.4737167594310452,0.4173881673881674,0.0,0,346,990,991,1313,outer_02
none,0.0,0.5302990919803147,0.5105560274651377,0.1095647004643085,97,346,1306,1307,1787,outer_03
none,0.05,0.5302990919803147,0.5105560274651377,0.060613773076901155,90,346,1306,1307,1787,outer_03
sigmoid,0.0,0.47438829971581065,0.3361408922264729,-0.21037689105621477,97,346,1306,1307,1787,outer_03
sigmoid,0.05,0.47438829971581065,0.3361408922264729,-0.15687481084924032,68,346,1306,1307,1787,outer_03
none,0.0,0.5301063913781533,0.5174787900324257,0.21666171338875628,128,346,1622,1623,2261,outer_04
none,0.05,0.5301063913781533,0.5174787900324257,0.15777882761788684,122,346,1622,1623,2261,outer_04
sigmoid,0.0,0.5262326793257274,0.4673900831153765,-0.07820662823221802,128,346,1622,1623,2261,outer_04
sigmoid,0.05,0.5262326793257274,0.4673900831153765,0.02565460320355696,2,346,1622,1623,2261,outer_04
none,0.0,0.5654336500955522,0.5650789306931339,0.33878844347104947,160,346,1938,1939,2735,outer_05
none,0.05,0.5654336500955522,0.5650789306931339,0.36543116447907115,142,346,1938,1939,2735,outer_05
sigmoid,0.0,0.5010864158747611,0.2951692587838443,-0.4367813642573547,160,346,1938,1939,2735,outer_05
sigmoid,0.05,0.5010864158747611,0.2951692587838443,0.04376427493743933,7,346,1938,1939,2735,outer_05
