calibration,margin,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,calibration_start_row,calibration_end_row,evaluation_start_row,evaluation_end_row,outer_fold
none,0.0,0.42108753315649866,0.4176470588235294,-0.012483168940614513,33,346,674,675,839,outer_01
none,0.05,0.42108753315649866,0.4176470588235294,-0.01337193465634777,33,346,674,675,839,outer_01
sigmoid,0.0,0.4266136162687887,0.37541463414634146,0.003669944213834042,33,346,674,675,839,outer_01
sigmoid,0.05,0.4266136162687887,0.37541463414634146,0.0,0,346,674,675,839,outer_01
none,0.0,0.5806470315398887,0.580763270050368,0.25362610889885906,65,346,990,991,1313,outer_02
none,0.05,0.5806470315398887,0.580763270050368,0.07226737219489096,60,346,990,991,1313,outer_02
sigmoid,0.0,0.41718846629560913,0.4172768757295978,-0.060378345976828895,65,346,990,991,1313,outer_02
sigmoid,0.05,0.41718846629560913,0.4172768757295978,0.0,0,346,990,991,1313,outer_02
none,0.0,0.5110729881472239,0.4565732959850607,0.19032161188741709,97,346,1306,1307,1787,outer_03
none,0.05,0.5110729881472239,0.4565732959850607,0.0463976123830143,90,346,1306,1307,1787,outer_03
sigmoid,0.0,0.4853053302834962,0.3416970802919708,-0.1369496584985433,97,346,1306,1307,1787,outer_03
sigmoid,0.05,0.4853053302834962,0.3416970802919708,0.07510297166932792,64,346,1306,1307,1787,outer_03
none,0.0,0.49082645770005134,0.47617481203007517,0.1306490864605223,128,346,1622,1623,2261,outer_04
none,0.05,0.49082645770005134,0.47617481203007517,0.05744201026800708,122,346,1622,1623,2261,outer_04
sigmoid,0.0,0.4909004776755754,0.4458361153961274,-0.23725316410911113,128,346,1622,1623,2261,outer_04
sigmoid,0.05,0.4909004776755754,0.4458361153961274,0.0,0,346,1622,1623,2261,outer_04
none,0.0,0.5425436529752088,0.5371329466892607,0.24474562396130234,160,346,1938,1939,2735,outer_05
none,0.05,0.5425436529752088,0.5371329466892607,0.45717401117762135,141,346,1938,1939,2735,outer_05
sigmoid,0.0,0.5,0.28711985688729874,-0.4405369705237109,160,346,1938,1939,2735,outer_05
sigmoid,0.05,0.5,0.28711985688729874,0.0,0,346,1938,1939,2735,outer_05
