calibration,margin,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,calibration_start_row,calibration_end_row,evaluation_start_row,evaluation_end_row,outer_fold
none,0.0,0.4830791575889615,0.48125,-0.1297732087500023,166,342,673,674,839,outer_01
none,0.05,0.4830791575889615,0.48125,-0.06202461614013941,132,342,673,674,839,outer_01
sigmoid,0.0,0.4885257806826434,0.3437485115503692,-0.0653110678612645,166,342,673,674,839,outer_01
sigmoid,0.05,0.4885257806826434,0.3437485115503692,0.0,0,342,673,674,839,outer_01
none,0.0,0.5379684418145956,0.5345208623813182,-0.10474506931565744,325,342,990,991,1315,outer_02
none,0.05,0.5379684418145956,0.5345208623813182,-0.13171870262289279,224,342,990,991,1315,outer_02
sigmoid,0.0,0.5,0.34210526315789475,-0.21029830074421063,325,342,990,991,1315,outer_02
sigmoid,0.05,0.5,0.34210526315789475,0.0,0,342,990,991,1315,outer_02
none,0.0,0.5007604887635648,0.4423754215061821,-0.2967711510153589,484,342,1307,1308,1791,outer_03
none,0.05,0.5007604887635648,0.4423754215061821,-0.17791005154081818,388,342,1307,1308,1791,outer_03
sigmoid,0.0,0.5020080321285141,0.33129805013927577,-0.3241506332293359,484,342,1307,1308,1791,outer_03
sigmoid,0.05,0.5020080321285141,0.33129805013927577,-0.07891569538424001,168,342,1307,1308,1791,outer_03
none,0.0,0.5111367873232873,0.5038295764181323,-0.20100028350711321,642,342,1624,1625,2266,outer_04
none,0.05,0.5111367873232873,0.5038295764181323,-0.17596395342203613,427,342,1624,1625,2266,outer_04
sigmoid,0.0,0.5029808140438092,0.33781765718335527,-0.455651022153109,642,342,1624,1625,2266,outer_04
sigmoid,0.05,0.5029808140438092,0.33781765718335527,0.0,0,342,1624,1625,2266,outer_04
none,0.0,0.5034264462497876,0.5,-0.692832501945662,800,342,1941,1942,2741,outer_05
none,0.05,0.5034264462497876,0.5,-0.23955840210885945,493,342,1941,1942,2741,outer_05
sigmoid,0.0,0.5,0.3144815766923736,-0.784474374033766,800,342,1941,1942,2741,outer_05
sigmoid,0.05,0.5,0.3144815766923736,0.0,0,342,1941,1942,2741,outer_05
