calibration,margin,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,calibration_start_row,calibration_end_row,evaluation_start_row,evaluation_end_row,outer_fold
none,0.0,0.41324200913242004,0.40511134593557985,-0.18257140332765592,8,361,679,680,839,outer_01
none,0.05,0.41324200913242004,0.40511134593557985,-0.18257140332765592,8,361,679,680,839,outer_01
sigmoid,0.0,0.5,0.3522267206477733,0.06378462123683898,8,361,679,680,839,outer_01
sigmoid,0.05,0.5,0.3522267206477733,0.015027554053925363,8,361,679,680,839,outer_01
none,0.0,0.5226251604621309,0.43667887667887667,0.1333043494442228,16,361,991,992,1307,outer_02
none,0.05,0.5226251604621309,0.43667887667887667,0.06445999769943452,16,361,991,992,1307,outer_02
sigmoid,0.0,0.5,0.3416666666666667,-0.04172638319276249,16,361,991,992,1307,outer_02
sigmoid,0.05,0.5,0.3416666666666667,-0.04172638319276249,16,361,991,992,1307,outer_02
none,0.0,0.5019969278033795,0.462635311683464,0.10544791686404156,24,361,1303,1304,1775,outer_03
none,0.05,0.5019969278033795,0.462635311683464,0.07409129005110963,24,361,1303,1304,1775,outer_03
sigmoid,0.0,0.5,0.3149492017416546,-0.1295618517854241,24,361,1303,1304,1775,outer_03
sigmoid,0.05,0.5,0.3149492017416546,-0.1295618517854241,24,361,1303,1304,1775,outer_03
none,0.0,0.4971547972856462,0.4496209710732268,0.10554201963221854,32,361,1615,1616,2243,outer_04
none,0.05,0.4971547972856462,0.4496209710732268,0.11133516882325288,32,361,1615,1616,2243,outer_04
sigmoid,0.0,0.5,0.33120340788072417,-0.17629513172637412,32,361,1615,1616,2243,outer_04
sigmoid,0.05,0.5,0.33120340788072417,-0.0773218026262715,24,361,1615,1616,2243,outer_04
none,0.0,0.4810049385171191,0.4763729246487867,-0.05497916758801466,40,361,1927,1928,2711,outer_05
none,0.05,0.4810049385171191,0.4763729246487867,-0.04216527759240211,39,361,1927,1928,2711,outer_05
sigmoid,0.0,0.5037917205263333,0.3154871855789505,-0.3570227057952262,40,361,1927,1928,2711,outer_05
sigmoid,0.05,0.5037917205263333,0.3154871855789505,-0.3874878020212731,27,361,1927,1928,2711,outer_05
