calibration,margin,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,calibration_start_row,calibration_end_row,evaluation_start_row,evaluation_end_row,outer_fold
none,0.0,0.38135208711433755,0.37022727272727274,-0.1432898708894681,17,351,676,677,839,outer_01
none,0.05,0.38135208711433755,0.37022727272727274,-0.17952199178465356,17,351,676,677,839,outer_01
sigmoid,0.0,0.5473381730187539,0.5373699148533586,0.018671785756083865,17,351,676,677,839,outer_01
sigmoid,0.05,0.5473381730187539,0.5373699148533586,0.04777714345032861,5,351,676,677,839,outer_01
none,0.0,0.6077147298872911,0.5825306364126585,0.2634621792726163,33,351,990,991,1311,outer_02
none,0.05,0.6077147298872911,0.5825306364126585,0.2576090397287907,32,351,990,991,1311,outer_02
sigmoid,0.0,0.397240575204042,0.3598290598290598,-0.15243738378086624,33,351,990,991,1311,outer_02
sigmoid,0.05,0.397240575204042,0.3598290598290598,-0.20099596979313988,22,351,990,991,1311,outer_02
none,0.0,0.5515349329569513,0.5441011818370309,0.2545152355676862,48,351,1305,1306,1783,outer_03
none,0.05,0.5515349329569513,0.5441011818370309,0.20289748586984346,48,351,1305,1306,1783,outer_03
sigmoid,0.0,0.5019230769230769,0.3175004823727225,-0.1355742687819884,48,351,1305,1306,1783,outer_03
sigmoid,0.05,0.5019230769230769,0.3175004823727225,0.02687491340144965,13,351,1305,1306,1783,outer_03
none,0.0,0.4831025733237433,0.4189476115597488,-0.028876385540857807,64,351,1620,1621,2255,outer_04
none,0.05,0.4831025733237433,0.4189476115597488,0.08229158515121812,63,351,1620,1621,2255,outer_04
sigmoid,0.0,0.5188054423399664,0.5064016927134798,0.055879752736285315,64,351,1620,1621,2255,outer_04
sigmoid,0.05,0.5188054423399664,0.5064016927134798,0.0,0,351,1620,1621,2255,outer_04
none,0.0,0.5158857343056601,0.5148523118672372,-0.13049367824514263,80,351,1934,1935,2727,outer_05
none,0.05,0.5158857343056601,0.5148523118672372,0.11952746195000447,78,351,1934,1935,2727,outer_05
sigmoid,0.0,0.5092128824643811,0.40555137163019683,-0.4421880522153637,80,351,1934,1935,2727,outer_05
sigmoid,0.05,0.5092128824643811,0.40555137163019683,-0.07969458242060762,8,351,1934,1935,2727,outer_05
