calibration,margin,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,calibration_start_row,calibration_end_row,evaluation_start_row,evaluation_end_row,outer_fold
none,0.0,0.4112738151472209,0.41102756892230574,-0.18257140332765592,8,361,679,680,839,outer_01
none,0.05,0.4112738151472209,0.41102756892230574,-0.20383845002501294,8,361,679,680,839,outer_01
sigmoid,0.0,0.5,0.3522267206477733,0.06378462123683898,8,361,679,680,839,outer_01
sigmoid,0.05,0.5,0.3522267206477733,0.06378462123683898,8,361,679,680,839,outer_01
none,0.0,0.461007702182285,0.421404058898988,0.1333043494442228,16,361,991,992,1307,outer_02
none,0.05,0.461007702182285,0.421404058898988,0.14139625624370483,16,361,991,992,1307,outer_02
sigmoid,0.0,0.5,0.3416666666666667,-0.04172638319276249,16,361,991,992,1307,outer_02
sigmoid,0.05,0.5,0.3416666666666667,-0.04172638319276249,16,361,991,992,1307,outer_02
none,0.0,0.5405801030089455,0.4847457627118644,0.01987828069054945,24,361,1303,1304,1775,outer_03
none,0.05,0.5405801030089455,0.4847457627118644,0.005160428375992648,24,361,1303,1304,1775,outer_03
sigmoid,0.0,0.5,0.3149492017416546,-0.1295618517854241,24,361,1303,1304,1775,outer_03
sigmoid,0.05,0.5,0.3149492017416546,-0.1295618517854241,24,361,1303,1304,1775,outer_03
none,0.0,0.44956738718086564,0.44311215637891815,-0.14112514971298284,32,361,1615,1616,2243,outer_04
none,0.05,0.44956738718086564,0.44311215637891815,-0.2570728097586563,32,361,1615,1616,2243,outer_04
sigmoid,0.0,0.5,0.33120340788072417,-0.17629513172637412,32,361,1615,1616,2243,outer_04
sigmoid,0.05,0.5,0.33120340788072417,-0.04614966279065224,16,361,1615,1616,2243,outer_04
none,0.0,0.48914852010208476,0.4877637807911418,0.09645322475120761,40,361,1927,1928,2711,outer_05
none,0.05,0.48914852010208476,0.4877637807911418,0.03475123347393981,39,361,1927,1928,2711,outer_05
sigmoid,0.0,0.49676179112392693,0.3786599774602828,-0.18900448802657688,40,361,1927,1928,2711,outer_05
sigmoid,0.05,0.49676179112392693,0.3786599774602828,-0.1338608894866967,26,361,1927,1928,2711,outer_05
