calibration,margin,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,calibration_start_row,calibration_end_row,evaluation_start_row,evaluation_end_row,outer_fold
none,0.0,0.38044464609800366,0.3799947275260799,-0.19240894894733684,17,351,676,677,839,outer_01
none,0.05,0.38044464609800366,0.3799947275260799,-0.08578726005255612,16,351,676,677,839,outer_01
sigmoid,0.0,0.567226255293406,0.5085560625814863,-0.04060191980614091,17,351,676,677,839,outer_01
sigmoid,0.05,0.567226255293406,0.5085560625814863,0.0,0,351,676,677,839,outer_01
none,0.0,0.5582199766809173,0.5486139011651265,0.07793819660131383,33,351,990,991,1311,outer_02
none,0.05,0.5582199766809173,0.5486139011651265,0.1385055624976845,32,351,990,991,1311,outer_02
sigmoid,0.0,0.4450058297706957,0.4258744038155803,-0.110929949350283,33,351,990,991,1311,outer_02
sigmoid,0.05,0.4450058297706957,0.4258744038155803,-0.06640465513977953,20,351,990,991,1311,outer_02
none,0.0,0.49027875793930836,0.42841127781618427,-0.10737882097087204,48,351,1305,1306,1783,outer_03
none,0.05,0.49027875793930836,0.42841127781618427,0.06442338262383648,47,351,1305,1306,1783,outer_03
sigmoid,0.0,0.5,0.3132183908045977,-0.1355742687819884,48,351,1305,1306,1783,outer_03
sigmoid,0.05,0.5,0.3132183908045977,-0.047452508542692,17,351,1305,1306,1783,outer_03
none,0.0,0.48801246703428436,0.4724350697457825,-0.09556399156313722,64,351,1620,1621,2255,outer_04
none,0.05,0.48801246703428436,0.4724350697457825,0.00588090265472585,63,351,1620,1621,2255,outer_04
sigmoid,0.0,0.4997352753136738,0.3167429872632185,-0.18036141805025485,64,351,1620,1621,2255,outer_04
sigmoid,0.05,0.4997352753136738,0.3167429872632185,0.0,0,351,1620,1621,2255,outer_04
none,0.0,0.4932979524044325,0.48844821407239275,-0.15601379628653284,80,351,1934,1935,2727,outer_05
none,0.05,0.4932979524044325,0.48844821407239275,0.0071194352830180885,77,351,1934,1935,2727,outer_05
sigmoid,0.0,0.5,0.30070546737213405,-0.38684943128569615,80,351,1934,1935,2727,outer_05
sigmoid,0.05,0.5,0.30070546737213405,0.0,0,351,1934,1935,2727,outer_05
