calibration,margin,balanced_accuracy,macro_f1,cumulative_net_log_return,non_overlapping_trades,calibration_start_row,calibration_end_row,evaluation_start_row,evaluation_end_row,outer_fold
none,0.0,0.36978221415607987,0.36809815950920244,-0.19240894894733684,17,351,676,677,839,outer_01
none,0.05,0.36978221415607987,0.36809815950920244,-0.19240894894733684,17,351,676,677,839,outer_01
sigmoid,0.0,0.5507410768300061,0.5112058080808081,-0.04060191980614091,17,351,676,677,839,outer_01
sigmoid,0.05,0.5507410768300061,0.5112058080808081,0.0,0,351,676,677,839,outer_01
none,0.0,0.517994558880684,0.508402982833692,-0.12079344632752742,33,351,990,991,1311,outer_02
none,0.05,0.517994558880684,0.508402982833692,0.08091172628284071,32,351,990,991,1311,outer_02
sigmoid,0.0,0.46888845705402254,0.45614657210401893,0.14278942623731916,33,351,990,991,1311,outer_02
sigmoid,0.05,0.46888845705402254,0.45614657210401893,-0.15217228586029807,17,351,990,991,1311,outer_02
none,0.0,0.5076393789696543,0.4917025172634413,-0.12314347748582008,48,351,1305,1306,1783,outer_03
none,0.05,0.5076393789696543,0.4917025172634413,-0.08924589893241097,47,351,1305,1306,1783,outer_03
sigmoid,0.0,0.5,0.3132183908045977,-0.1355742687819884,48,351,1305,1306,1783,outer_03
sigmoid,0.05,0.5,0.3132183908045977,0.0,0,351,1305,1306,1783,outer_03
none,0.0,0.5210481099656358,0.5032896146757533,0.07847352168930977,64,351,1620,1621,2255,outer_04
none,0.05,0.5210481099656358,0.5032896146757533,0.035169950205437894,62,351,1620,1621,2255,outer_04
sigmoid,0.0,0.46721909214417007,0.31615617116473893,-0.2593600674630028,64,351,1620,1621,2255,outer_04
sigmoid,0.05,0.46721909214417007,0.31615617116473893,0.0,0,351,1620,1621,2255,outer_04
none,0.0,0.4951535047881037,0.4945924735358063,0.00713661340381809,80,351,1934,1935,2727,outer_05
none,0.05,0.4951535047881037,0.4945924735358063,0.034909616363535234,76,351,1934,1935,2727,outer_05
sigmoid,0.0,0.49856292009446446,0.3954782790309106,-0.4093634767258449,80,351,1934,1935,2727,outer_05
sigmoid,0.05,0.49856292009446446,0.3954782790309106,0.022741468321560335,2,351,1934,1935,2727,outer_05
